score,content
1,saya gabisa masuk dan dikira pakai aplikasi bajakan padahal pakai wa orii
1,sistem buriiikk
1,punya ssaya gak bisa update status pake saound
1,"sorry what up, the photos sent in the group are now all in the gallery, to the point where I can't open WhatsApp myself!!. Do something so that WhatsApp memory doesn't fill up because of the photos in the group!"
1,apus fitur sekali liatt woy
1,knpa ga bisa nerima sms
1,wa ya ngeleg padahal semua udah ku save bisa ya hilang yang di save tolol
1,kalo buat sw kok pecah kenapa? nunggu thn 2090 dulu baru bisa hd? update terus hd kagak!
1,tolong baikin bug tidak bisa unblock
1,kenapa bentar bentar harus di updates sih memo aku gak cukup tauuu👹👹
1,"error jika nelpon tidak ada suara, dan kadang tidak bisa terhubung dengan panggilan tetapi ketika terhubung di panggilan, kirim pesan lagi yang tidak bisa terkirim, pokoknya sangat mengganggu,"
1,"banyak bug nya ,mau update story aja nunggu berjam² buat tag grup"
1,agak kurang sejak suka upgrade
1,gue download lagi mau buka keluar sendiri ga jelas la sinyal stabil sudah di update masih aja gitu padahal pakai hp Samsung s24 ultra
1,Tutorial: Bagaimana cara menonaktifkan fitur baca semua?
1,aplikasi ini tidak seperti dulu. sangat meresahkan
1,"4njing wa jelek,ke ban mulu wa saya gajelas banget ,mana penting lagi chat nya,tolong lah buka lagi,kena spam gajelas mulu,ngerugiin waktu penting orang"
1,buruk
1,yg lain udah muncul fitur terbaru kaya music di status lah punya saya ga muncul2 fitur terbarunya pdhl udah di updet terus
1,"bantu updet lagi dong,gak bisa buat nada dering , banyak bag nya keluar"" sendiri"
1,harus diperbarui
1,"ada yg sama gak sih , wa sekarang gak bisa di buka 😭"
1,"lagunya kagak komplit, cacat"
1,apk ga jelas tiap buka status teman isi nya pada pamer pacar mentang mentang gw gada pacar gitu? terus pengguna isi wa ini seleb semua cok chat gw ga di bales dahlah
1,"saya kecewa,kecewa kecewa bangettt sama wa,tiba tiba keluar gabisa login lagi chat saya yg udh saya simpenn dari lamaa ilangg semuaa !!!"
1,di apk watsaap akun ku sering ngilang harus mulai dari awal lagi padahal udah sering masuk tdi disuruh daftar ulang
1,"nomor suka ilang gak jelas, kenapa si WA sekarang begitu tolong di perbaiki dong"
1,"ini kenapa setiap ada pesan masuk ga ada nada dering nyaa ,, padahal apk sudah di update .. tolong perbaikilah"
1,apalh malah ga bisa login tll
1,"Saya susah menggunakan WhatsApp, selalu saja muncul WhatsApp tidak resmi"
1,setelah diperbarui efek vc wa hilang knp ya
1,"Parah whatsapp...gk ada sebab apa apa tiba"" aplikasi di anggap tidak resmi, padahal dowmload dari playstore, lama lama semua bakal males buat pke aplikasi whatsapp"
1,fix bug chat
1,tidk bisa instal
1,"kebanyakan apdet udah gak bisa ngirim Poto lagi,, lomot lagi😇😇😇"
1,"aneh Whatsap sekarang ,tiba tiba saja akun WhatsAp langsung terblokir Tampa peringatan kesalahan dan WhatsAp kalo ada akunnya dipergunakan oleh orang lain tidak memberikan verivikasi keamanan kepada pengguna WhatsAp.katanya privat tapi masih bisa di susup spam Tampa ada tindakan dari WhatsApp.."
1,perbaiki kualitas telpon
1,"makin ke sni makin ngk jelas WA ni,,,smbil VC buka Apk lain ngelek2 padahal Hp ram dan isternal gede,, pembaruan nambah kacau aja makin jelek,,,"
1,"2025 masih update teroooss tapi ngga ada yg berubah sama sekali...🤦🏼‍♂️🤦🏼‍♂️ update status WA pake foto yg MB'nya lumayan gede status terkirim tapi pas di liat potonya pecah2...apa lgi video lebih parah , udah pake resolusi 1080 pas upload udah kya 3gp...ampuun dah whatsapp ngga recomended bgt...harus pake poto/gambar yang berapa MB sih biar ngga pecah,blur...1 bintang kyanya cukup lah...mengecewakan!!!!"
1,"baru buka wa habis ngecass tiba' langsung ilang semua chat,foto,dokumen tapi stiker nya nggak hilang.Itu ngebug apa gimana min? tolong di perbaiki jika itu bug min"
1,Seneng Banget
1,"tolong dong jangan sensitif gara"" akun wa saya banyak yang chat sehari bisa sampe 1k chat jadi di blockir sama WhatsApp padahal tidak melanggar karena nggak nyepam juga"
1,tolong di perbaiki sangat lemot minta kode verifikasinya terlalu lama
1,kebanyakan bugg tolong di benarkan min
1,mantappppp
1,tiap telpon lampu hp mati
1,"kenapa buat vidcall berat banget ya, padahal space ram dan internal di hp juga masih banyak, vidcall ngelag banget padahal sinyalnya bagus, jadi berat banget nih wa"
1,"Saya sudah menggunakan WhatsApp versi terbaru, tetapi akun WhatsApp saya tidak muncul filter efek untuk panggilan video, atau fitur baru dari WhatsApp yang Video Call menggunakan efek/filter."
1,"sudah beberapa kali di perbarui dan pembaruan sistem juga udah sering ini kok di Wa ku ngga ada fitur musik nya kaya yang lain ya, saya kan juga pengen kaya yg lain kalo bikin status pake foto tapi ada musik nya aneh ni WhatsApp pilih"""
1,ko whatsApp saya belum ada tema chat
1,"aplikasi kocak, hp penyimpanan kosong, penyimpanan akun kosong, malah di bilang penyimpanan penuh,Hp baru loh 16/256 ga cukup emng nyimpen apk kek ginian?"
1,"wa konsol, gua chat di saluran gbisa, desk ch eror. pdhl jaringan lancar."
1,"apaan banget wa harus kehapus dulu semua chat sama foto baru bisa normal lagi wa nya, gajelas tolong lah udah 2× kaya gini gajelas, hp lancar"" aja masa wa nya error harus kehapusin dulu baru bisa normal lagi wa nya"
1,baik
1,kebanyakan ngebug sekarang gk kayak dulu
1,halo admin kenapa wa sayah kena sepam trimakasi
1,wa tidak jelas padahal grup saya ada 20 tapi lag+patah' dan tidak terkirim' chat saya tolong di perbaikin hadeh
1,sapa
1,kocak wa gua tiba tiba g bisa d buka dan nomor ga jiga tiba tiba tidak terdaftar lagi di wa kocak aneh bet
1,tidak kompatibel untuk perangkat saya mohon di bantu
1,ai tolol
1,"saat foto dia otomatis merekam seperti sedang di video, Mohon segera diperbaiki"
1,tidak bisa mengirim media seperti musik kadang tidak bisa mengirim Poto atau vidio saya sangat kecewa de Ngan wa ini kalo ada perubahan saya kasih bintang lima de
1,Update story video kualitas belum HD
1,bug delay wa padahal sinyak saya kuat
1,setelah telp otomatis ke mode silent
1,"knp yaa wa ku ngebug?.. nomer nya udh ku sve masa tiba"" kehapus.. ga ke sve lagi"
1,"kadang gabisa kirim pesan ke saluran, sering nge bug"
1,"saya bertahun-tahun menggunakan kontak WhatsApp, tetapi dalam sebulan ini terkena spam 3x sangat2 menjengkelkan jika WhatsApp bisa me Nye-pam berdasarkan satu laporan,semua data penting hilang tak tersisa.."
1,sering keluar sendiri
1,"Woi ini kok buat ngirim foto atau Vidio kadang gk bisa si , parah banget setelah update jadi ini"
1,kebanyakan bug
1,syaa tidak dapat membuat status dengan music
1,gak bisa masang sw
1,"coba dong emoji nya bisa nyesuain font nya ,di apk lain kaya tiktok gitu bisa pakai emoji iphone masa di wa nya gabisa aneh banget gasuka 👎👎"
1,"tolong tampilkan story musik, saya sudah update tapi fitur musik untuk update story belum muncul, fitur musik gk ada"
1,mengapa no sayah di blok mohon untuk memberitahu kami alasan anda memblokir akun watspp sayah
1,"kasi tombol mute suara pas vc lah, masa suara langsung keras mana ga bisa dikecilin"
1,woy knp sih ini WhatsApp knp akun gw sering Kena banned GK jls banget sih gw kasih bintang satu aja karna GK jls
1,Wa ku eror kenapa ya padahal orang yang aku chat online tapi centang satu mulai kemaren gitu kenapa ya?
1,apk banyak bug tolol
1,ngirim stiker dan gambar atai video kadang loading lama
1,Cara gampang whatsApp agar Gampang komunikasi mksh sebelum nya
1,saya ga bisa tag grup wkwk
1,saya tidak bisa masuk
1,"Waktu voice call keluar , mode senyap hp auto on sendiri , hp saya SAMSUNG A34 5G , mohon diperbaiki bug yang menyebalkan ini"
1,tidak bisa digunakan
1,mengganggu kerjaan aja ini blokir
1,"aplikasi jelek, kalau bikin sw malah buriq bukannya HD."
1,terkena bug chat tidak muncul atau delay
1,kenapa kok setiap chat orang baru kenal yg belum ke save nomor nya pasti kena sesi dan ga bisa di buka harus nunggu 24jam baru bisa. lama lama muak pake wa mending di tele
1,saya tidak bisa update gambar di folder memori telepon. semua folder gambar tidak terbaca seluruh nya.
1,gak ada fitur yg baru payah !!! yang pake efek gitu gada
1,tolong hilangkan mode foto/vidio sekali lihat 🫣.
1,"Guys jangan download aplikasi ini, karena akun ku ke blokir, padahal aku gak salah apa apa"
1,tiba2 akun ke blokir
1,terlalu sering di update
1,"bug saluran tidak bisa mengirim pesan. saat saya mencoba mengirim pesan di channel saluran saya, itu terkadang delay dan sampai tidak bisa mengirim apapun berhari hari. padahal, teman saya saat saya jadikan admin di channel saluran saya, dia bisa mengirim pesan tanpa adanya kendala."
1,aplikasi apaan bnyk bugnya
1,"mohon d perbaiki untuk pihak WhatsApp, WhatsApp saya ga bisa di buka udah 3 hari kena bug Whatsap mhon bantuan nya 🙏"
1,"kenapa WA tidak bisa tampil di beranda padal sudah berkali, kali menginstal"
1,sw nya burik bet😹
1,gapapa
1,kesel tiba2 keblokir
1,gk bisa di dowload
1,makin gak jelas. update malah gak bisa masuk
1,update mulu
1,oii benerin bug nya gaaaa
1,susah kali liat sw aj
1,wa busuk baru chat ke org aja udah ke ban gimana si skrng wa makin busuk aja udah engga kaya dulu lagi di perbaiki lagi dong
1,sangat baik
1,"knp ya .. WhatsApp ny eror"" terus..baru beberapa HR aku hapus aplikasi ny WhatsApp ny..sampe data"" ku pada hilang yg ada di wa...lha ini di download LG..palah eror LG..hadeeuh tolong dong knp bisa begini sekarang"
1,"kenapa whatsap saya sering kena blokir, pekerjaan jadi terganggu. padahal saya hanyalah kurir yang mengirimkan pesan kepada buyer saat mau mengantarkan paket"
1,Baik
1,sudah update tapi nda ada filternya
1,WA ku bkin sw blm ad msiknya🤭🤭
1,Saya di block
1,sangat buruk nomor baru pasti langsung dispam atau terblokir
1,Klo dibuat tlp tiba tiba hp mati
1,akun tiba2 di blokir tanpa alasan yang jelas dan gk bisa di pulihkan. auto tak copot aja wa nya. idh tiap hari jpdate tapi malah hancur
1,channel ny sring bug g bs kirim video atau pesan
1,"Akun Whatsapp saya secara tiba-tiba diblokir karena spam, walaupun saya telah mematuhi ketentuan layanan Whatsapp, Mohon tinjau akun saya dan segera selesaikan masalah ini, Terima kasih"
1,ok
1,"aneh, kok tiba2 kena spam, gak jelas alasanya, padahal chat/nelpon/aktifitas apapun normal gak ada yg patut dicurigai"
1,tiba² sering bug
1,WhatsApp mkin gk jls gk kek wa dlu
1,ga bisa pakai efek vc
1,anda memerlukan versi resmi untuk masuk. padahal saya mendownload di sini. bug atau apa kagak jelas nih aplikasi
1,Update lama dan gak jelas
1,"tolong buat aplikasi WHATSAPP khusus untuk pekerja seperti kurir, dsb. supaya WA kami tidak selalu kena pelanggaran SPAM, karena kami bekerja harus dan sangat perlu menghubungi ratusan customer setiap harinya, dan tidak semua nomor telfon tersimpan dikontak HP, mohon dirubah kembali peraturan nya. sungguh menyulitkan bagi saya yg berprofesi sebagai kurir atau profesi lain yg sangat memerlukan WhatsApp untuk bekerja."
1,WOY MIMIN WA!KOK GUA GA BISA TAG GRUP WOI!PDLH ORNG DH DAPAT SEMUA?GUA KAPAN WOI!GUA DH UPDATE MULU!GA ADIL BNGT AKU MINTA TAMBAHIN GW FITUR TAG GRUP
1,padahal udah download versi resminya tapi kok pas login katanya bukan versi resmi sih aneh bangetf
1,di blokir Mulu ini WhatsApp kenapa jelek.baneh
1,ngga bisa pake musik statusnya
1,kenapa wa saya ujug kena SPAM....padahal gak di apa apain. saya tinggal tdur paginya udah kna SPAM aja...
1,Sangat payah wa skrng
1,kenapa wa sekarang selalu terkena spam ya.padahal saya tidak melakukan apapun kesalahan
1,kadang kadang tidak ada notif dari whatsapp nyaa
1,maaf gw ngk kasih bintang karena wa Semakin kesini makin ngelunjak gw baru kena spam padahal gw telah mengikuti syarat syarat ketentuan dari aplikasi ini ngk pernah gw melanggar TPI kok tiba2 wa gw ngk bisa di buka karena spam tolong buat pemilik perusahaan WhatsApp di perbaiki lagi
1,kenapa spam lagi wa nya
1,"kenapa pembaharuan status saya kok random bukan dari yang terbaru ke yang terlama, tidak akan saya berikan bintang 5 jika masih kayak gini"
1,wa saya gak melakukan apa2 kena spam... parah sskali dan merugikan
1,kurng mantap pendengaranya
1,Kenapa tidak bisa di pakai aplikasinya
1,bagus
1,"ini knapa ko bolak2ik ke detek di batasi spam . saya kerja sbg kurir woe, sop wajib spam dulu yg sifatny sbg pemberthuan ke customer bahwa paket ybs sudh saya bawa agar bs siapkan pembayarn nya,, ko malah deteksi spam mlulu, apakh ndk bisa d tinjau dlu sblm spam tentang isi wa saya"
1,Nge bug trs wa ku
1,ga bisa buat nyimpen foto dan video
1,ok
1,"kenapa GK bisa di kasih musik y ,padahal udah di update"
1,mau pindah WhatsApp ke hp baru saja ruwet cook
1,saya tidak bisa membuat gelembung di wa padahal sudah di update
1,"apasih wa sekarang ini makin aneh updatenya.. ""Akun ini tidak bisa memakai Whatsapp lagi karna spam?"" You Serious? apa ini..!! kerja jadi keganggu.. astagaaa.. konyol banget"
1,"TERAMAT SANGAT BURUK.SEDIKIT"" TERBLOKIR.KALO PEKERJAAN YG SELALU MENGGUNAKAN APLIKASI INI DIKIT DIKIT TER BLOKIR,TERAMAT SANGAT MENGECEWAKAN"
1,kenapa yah kan sudah berulangkali update terbaru wa kok punya ku gak ada filter kamera
1,Baik
1,Parah nih apk setiap bulan update mn jaringan jelek
1,tolol tiba tiba di Spam. nggak tau maksud dan tujuannya.
1,"WA payah aplikasi gk resmi, saya gk bisa masuk akun."
1,"kenapa WhatsApp skarang sulit untuk membuka & mengakses semua Album-album di Galery ! kami kesulitan jika hanya Album-album tertentu saja tolong kembalikan WhatsApp seperti semula kami sudah membuat Album & Folder Khusus di Galery, agar tidak kesulitan saat ingin mencari Foto / Video untuk di share, tidak harus Scroll jauh di Galery terimakasih"
1,"akun gue di batasi Karna sering kirim pesan otomatis. masalah nya gw kurir, harus kirim pesan ke pelanggan kalo mau kirim barang dan itu pesan otomatis dari aplikasi kurir nya"
1,bagus
1,fitur tema dan warna chatnya gak muncul
1,BUG!!!!!!
1,tiba tiba saja seluruh data hilang tanpa ada pemberitahuan
1,"jaringan bagus tapi buat vc sering mati"" trus"
1,aneh Benar sekarang buka whatsapp aja susah apalikasi nya sekalin parah
1,efek kamera saat panggilan video tidak bisa.
1,"ANEH saya tidak melakukan pelanggaran apapun tetapi akun wa saya tidak bisa di gunakan, aneh bener ini whatsapp"
1,Aplikasi sampah sering ngeleg. Sering login sendiri...ga jlas lama2 whatsapp.....
1,"setiap masukan status jadi buram,tolong dong admin nya,,gmna solusinya"
1,"tidak berguna WhatsApp, tidak menghapus pesan jika salah, tidak bisa me tag teman di sw. mohon di perbaiki segara"
1,suara call nya jelek
1,"tolong dong, ini kenapa ya kalo ak lagi call an itu suka tb tb mati sendirii??!! gasuka gasuka"
1,Pembaruan mulu dah ga enak hp ku rusak!
1,maaf ke pencet
1,bagus
1,tidak bisa di gunakan
1,kenapa nmr ini tdk bs login ke WhatsApp
1,mohon maaf ni wa status nya bisa bikin kayak kotak gitu soal nya punya teman saya status nya kotak kok di gua GK ada gimana sih cara kerjanya kalo diperbaiki/diperbarui gak papa tolong ni yang wa
1,eror kah wa
1,apalah aplikasi ny gabagus aku ngecht dia jam 7 pagi dia bales jam 5 sore
1,wa dari play store kok nggak resmi sistem robot wa eror .semua hp di anggap ilegal
1,tidak bisa terpakai lagi
1,tidak dapat digunakan
1,akun mohon di buka
1,knp skrng WhatsApp gak bisa simpan nomer telepon orang?
1,bnyk bug nya. sama sering eror
1,wa gua belom versi resmi
1,"wa sekarang engga jelas banget,akun wa saya engga ngapa ngapain tiba tiba kena baned,kan gajelas bukan sekali dua kali kena bened ini tiap hari,alasannya akun ini kena spam,kan kocak padahal engga ada nyepam sama sekali"
1,harus menggunakan wa resmi pdahal downloadnya udh langsung dari play store
1,knp loading terus si buat ngapus status WhatsApp nya padahal jaringan nya kenceng😔 mana mau cadangkan ngeleg juga padahal jaringan nya setabil🙃🙃🙃
1,"LEMOT, ERROR, GA BISA DI UPDATE 😭"
1,makin susah
1,tiba² aplikasinya tidak bisa
1,"whatsapp kocak,ngirim video malah ngeblur separo benerin lah kocak"
1,tolong perbaikin lg buruk bgt panggilan wa nyaaa
1,aku GK bisa download
1,akun whasap gak bisa digunakan lagi.aneh banget.akun baru nomer baru
1,what'spp messe
1,apk whatsapp sanggat membosankan abdate trussss kemapa gak tiap hari aja abdate nya. biar cepat kaya
1,"sering eror,sering di suruh perbarui... klu ada app lain yg sama,masih mending pindah🙏"
1,lemot
1,lemot.hrus update terus..
1,semoga beriatavnya faktual
1,baik
1,ketika telepon dan mendengar voice note ponsel seketika restart dengan sendirinya di redmi 10
1,tidak muncul efek kamera saat video call berlangsung
1,wa saya kenapa tiba tiba kena spam? tolong dong deploper untuk masalahnya
1,cukup baik
1,"fitur lagunya gak lengkap, mending hapus aja fiturnya"
1,Ngirim ke grup sering ilang dan sering ada pesan di grup yg ilang dari akun lain dan ada juga yg gak terbaca
1,berusaha mencari informasi yang menarik
1,apalah pemaksaan update kalau ngak update ngak bisa liat w.a
1,selalu di spam
1,Capeeeeek harus update terus
1,"saya cuma save nomor baru, dan chat nomor itu langsung kena spam whatsapp kenapa jadi begini banget si whatsapp, ditautin ke web whatsapp aja bkin kena spam lg in anehhh"
1,kenapa ya saya seringkali kena spam padahal saya tidak melakukan kesalahan apa apa saya mohon kepada pemilik apk WhatsApp agar di perbarui lebih detail karena masih banyak bug bug seperti kena spam tanpa sebab terima kasih
1,vc kadang gak muncul gambar
1,hilang suara padahal hape kondisi normal
1,kenapa akun gua di blok mu padahal gua gak melakukan apa apa tolong dong WhatsApp kembalikan akunku ini gua kasih bintang 1 dulu karena tiba tiba di blok tolong ya WhatsApp
1,ripuh ah mineng teing di apdetmah ges nyaho tekabeh jelema boga hp ram gede
1,Tidsk muncul fityr music padahal sudah diperbarui
1,KLO buka situs disuruh download padahal udh didownload
1,"whatsapp nya aneh,selesai telfonan nada dering nya mati sendiri"
1,"makin kesini makin menjadi jadi, aku make wa trus nge spam 2 kalian langsung ke ban terus pas kebuka cuman bertahan 5-8 jam an trus ke ban lagi, ayo lah WhatsApp ini mengganggu banget loh, saya tau saya salah tapi ga terus terusan sellama beruntun lahh"
1,Makin parah setelah update. sampah
1,WA sekarang kaya jemmbuutttt...
1,aneh banget masak gua fast respon dianya slow respon
1,tidak bisa digunakan whatsapp ini
1,nonton story sering macet
1,"Maaf ini knp yahh sw saya hijau teruss udah di ulang"" tapi tetep gitu tolong perbaikin situs nya yahhh"
1,"baru chat hay Ama temen udh dibanned,, apaan cobak,, makin lama makin bobrok sistemmya"
1,sampai kapan meta kenon ini berakhir 😟
1,tidak bisa vc
1,tidak bisa mengirim
1,gua nungguin 3 jam lbih gbs bs
1,wa nya aneh tiba tiba kontak orang bisa ke blokir sendiri
1,Makin kesini makin jelek dulu setiap ngirim atau bikin sw pasti bagus jernih lah skrng apa malah jelek banget nyesel update wa malah begini makin kesini makin jelek ga sesuai
1,kena baned gara gara suka aktif
1,aplikasi apa ini aku kok nggak dapet cewek 🗿
1,vc ngelek terus aneh
1,baru 1chat sudah keblokir masalah tidak di ketahui
1,"sungguh pelayanan semakin buruk, maaf"
1,kurang menarik
1,Lma
1,gda fitur musik distory
1,voice note nya tdk terdengar
1,Kenapa setelah update eror tidak bisa mengirim foto
1,"kenapa sih WhatsApp sekarang aneh banget, di buat chat an sama masukin temen sendiri ke grub tiba tiba wa nya ke band karena spam, letak spam nya dimana sih???, tolong dong pihak wa di perbaiki lagi, muak banget tiba tiba ke band😇😇"
1,kenapa WA saya kena banned mulu padahal saya gk melakukan chat spam apapun
1,kenapa akun wa saya ke kunci tiba tiba gmna nih???
1,"saluran jarang kekirim,padahal jaringan oke oke aja 😒,TOLONG PERBAIKI DONG AH!."
1,MAKIN RIBET LOG-IN !!!
1,"WA knp si tampilan nya sekarang kek anj bgt, balikin WA dulu"
1,GABISA MENYEBUT GRUP ANJ
1,"Notif Chat pin selalu tidak muncul, Notif Pop Up sudah dinyalakan tetap tidak ada!!!"
1,login nya susah amat tolong di perbaiki lagi susah saya kerjaan saya ada di akun wa malah di persulit
1,SPAM!!!
1,terima kasih
1,sangat mengwsankan
1,WA TOLOL!!KEBANYAKAN NGE BUG
1,kenapa wa sekarang gk bisa kirim audio.. pdhal dlu bisa saling kirim musik..
1,bagus
1,apk apaan si masa gk ada cwe yg bales chat gua min di perbaiki lagi
1,gjelas
1,ok
1,"dibuat telpon tiba-tiba mati sendiri, padahal sinyalnya bagus"
1,Susah ribt harus ad kode informasi nya
1,WOILAHH INII KENAPA PKE INSIAL ANJIRR PP NYA KEK KONTAK AJAA
1,tolong hapus fitur kiriman 1x lihat
1,"tolong sediakan fitur vcs, nampak muka membuat saya tidak puas sama sekali!"
1,knapa gabisa pake wa
1,wa saya bug gabisa ngechat tolong ini napa
1,"sumpah yah gue dikit"" kena kenon padalah gk ngapa ngapain pls hilangin fitur itu sekarang itu gak jelas banget orang gk ngapa ngapain kena spam minta tolong banget"
1,"error, chat setelah dikirim tidak mau keluar dan tidak langsung centang padahal sinyal bagus! chat dari orang bahkan tidak mau masuk ke kita bahkan buat sw juga sama saja. tolonglah cepet diperbaiki"
1,"woyy min hapus aja fitur edit di chat, biar yang bohong bisa ketahuan"
1,"apalah dikit² di deteksi spam, padahal cuman chat sekali atau dua kali udah di bilang spam tolong lah WhatsApp untuk sistem deteksi spam di kontrol lagi jangan dikit² kena spam baru kebuka 1 menit sudah kena lagi haha"
1,lumayan bagus
1,tidak ada chat default
1,"gw sebagai anak JB WhatsApp tu anj banyak bug bentar"" kenon mohon perbaiki tuh anj"
1,ihh gabisa di donlowt
1,dan saya puas
1,Kenapa nomer Saya GK bisa daftar Wahtsap
1,"kenapa nomor saya diblokir sedangkan saya baru saja membeli nomor itu? saya bahkan belum melakukan kontak dengan siapapun, tapi terdeteksi sebagai spam dan nomor tidak bisa digunakan lagi. Menyusahkan sekali."
1,gabisa kirim kode
1,ga suka update wa skrg😭
1,wa balikin wa yang versi lama.
1,Wa ku sering kena sepam knp dah perbaiki dong
1,💗
1,"apk pajangan doang, gaada yg ngechat saya"
1,"yang bener aja cok,gw gabisa kirim sw sama sticker,padahal main ml lancar lancar aja"
1,wa aneh gjls kena bug terus
1,"ada kalanya penting bisa merekam Layar pd profil seseorang,kasus ini terjadi pd diri sendiri ketika aku membutuhkan biodata seseorang ketika terjadi negosiasi jarak jauh.alat bukti hilang blank hitam,suara pun senyap ketika rekam layar vc,dan foto profilpun tak bs di tangkap layar. akhirnya hilang dokumen penting untuk barang bukti,ini secara tdk langsung whatshaAp membantu seseorang dr kejahatan itu dengan adanya privasi tangkap layar. ini real terjadi,pd diriku sendiri."
1,kenapa setatus saya pul layar warna hijo
1,aplikasi apaan masa iya gw ngechat dia gada respon
1,"kembalikan fitur hd yang dulu, sekarang ga bisa ngehd-in semua foto harus foto tertentu ga asik ga di kasih bintang harusnya!!"
1,"jelek banget skrng udh gabisa screenshoot foto profil temen padahal mau buat collab 😒, BAHKAN GABISA KIRIM KONTAK?! kaya apaan banget si, bikin mkin susah aja.. yg gw suka cuman update status nya aja yg lainnya 0!"
1,Expor vidio di AM 4k giliran di jadiin status 480p awokoseawaeok
1,"nomer yang sudah saya hapus, KENAPA MASIH BISA LIHAT STATUS SAYA?! sedangkan di DAFTAR KONTAK sudah TIDAK ADA. Aplikasi RUSAKKK!!!"
1,lambat
1,pas vc an sekali buka foto langsg ketutup
1,gajelas kereset sendiri
1,semakin bnyak update smakin elorr
1,"ko efek di Video call ngga nongol"" yah . padahal sudah di perbarui"
1,tiba tiba uninstall sendiri konyol
1,makin baru makin gk karuan
1,butuh pembatuan
1,"bintang 5 kalo ada settingan buat hapis saluran, kare gak berguna buat saya."
1,kenapa susah untuk ngirim video yaa loading nya lama ujung ujungnya batal terkirim
1,ok
1,ini gimana yh bagus sih bagus tapi g ada cewek yang cat gw
